CBSA,Days with AQI,Good Days,City,score
"Fort Collins, CO",152,85,Fort Collins,1
"Panama City, FL",89,50,Panama City,1
"Holland, MI",91,52,Holland,1
"Kalamazoo-Portage, MI",91,53,Kalamazoo-Portage,1
"Denver-Aurora-Lakewood, CO",194,101,Denver-Aurora-Lakewood,1
"Salt Lake City, UT",214,115,Salt Lake City,1
"Payson, AZ",182,102,Payson,1
"Pittsburgh, PA",152,90,Pittsburgh,1
"Helena, MT",91,52,Helena,1
"Pensacola-Ferry Pass-Brent, FL",182,109,Pensacola-Ferry Pass-Brent,1
"Grand Rapids-Wyoming, MI",92,48,Grand Rapids-Wyoming,1
"New Orleans-Metairie, LA",183,106,New Orleans-Metairie,1
"Nashville-Davidson--Murfreesboro--Franklin, TN",92,49,Nashville-Davidson--Murfreesboro--Franklin,1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",182,91,Philadelphia-Camden-Wilmington,1
"Great Falls, MT",87,52,Great Falls,1
"Dayton, OH",183,105,Dayton,1
"Visalia-Porterville, CA",157,71,Visalia-Porterville,0
"Fairbanks, AK",92,27,Fairbanks,0
"Indianapolis-Carmel-Anderson, IN",213,105,Indianapolis-Carmel-Anderson,0
"Bakersfield, CA",152,68,Bakersfield,0
"Houston-The Woodlands-Sugar Land, TX",92,19,Houston-The Woodlands-Sugar Land,0
"Austin-Round Rock, TX",122,48,Austin-Round Rock,0
"Phoenix-Mesa-Scottsdale, AZ",213,33,Phoenix-Mesa-Scottsdale,0
"Los Angeles-Long Beach-Anaheim, CA",153,36,Los Angeles-Long Beach-Anaheim,0
"Atlanta-Sandy Springs-Roswell, GA",183,61,Atlanta-Sandy Springs-Roswell,0
"McAllen-Edinburg-Mission, TX",121,42,McAllen-Edinburg-Mission,0
"Baton Rouge, LA",183,77,Baton Rouge,0
"Riverside-San Bernardino-Ontario, CA",153,27,Riverside-San Bernardino-Ontario,0
"Las Vegas-Henderson-Paradise, NV",122,59,Las Vegas-Henderson-Paradise,0
"Knoxville, TN",213,106,Knoxville,0
"Miami-Fort Lauderdale-West Palm Beach, FL",182,66,Miami-Fort Lauderdale-West Palm Beach,0
"San Antonio-New Braunfels, TX",122,60,San Antonio-New Braunfels,0
"Toledo, OH",182,88,Toledo,0
"Cleveland-Elyria, OH",183,68,Cleveland-Elyria,0
"Kansas City, MO-KS",91,27,Kansas City,0
"St. Louis, MO-IL",182,82,St. Louis,0
"Dallas-Fort Worth-Arlington, TX",92,36,Dallas-Fort Worth-Arlington,0
"Cincinnati, OH-KY-IN",183,68,Cincinnati,0
"Stockton-Lodi, CA",31,10,Stockton-Lodi,0
"Chicago-Naperville-Elgin, IL-IN-WI",184,55,Chicago-Naperville-Elgin,0
"Chattanooga, TN-GA",182,86,Chattanooga,0
"Tampa-St. Petersburg-Clearwater, FL",183,71,Tampa-St. Petersburg-Clearwater,0
"New York-Newark-Jersey City, NY-NJ-PA",183,90,New York-Newark-Jersey City,0
"Charlotte-Concord-Gastonia, NC-SC",214,104,Charlotte-Concord-Gastonia,0
"Detroit-Warren-Dearborn, MI",92,28,Detroit-Warren-Dearborn,0
"San Francisco-Oakland-Hayward, CA",61,30,San Francisco-Oakland-Hayward,0
"Missoula, MT",91,40,Missoula,0
"Ocala, FL",91,41,Ocala,0
"Tucson, AZ",183,88,Tucson,0
"Tulsa, OK",152,73,Tulsa,0
"Durham-Chapel Hill, NC",121,59,Durham-Chapel Hill,0
"Oklahoma City, OK",160,75,Oklahoma City,0
"Brownsville-Harlingen, TX",121,26,Brownsville-Harlingen,0
"El Centro, CA",157,63,El Centro,0
"San Juan-Carolina-Caguas, PR",183,53,San Juan-Carolina-Caguas,0
"Bishop, CA",152,52,Bishop,0
"El Paso, TX",91,39,El Paso,0
"Little Rock-North Little Rock-Conway, AR",183,88,Little Rock-North Little Rock-Conway,0
